Date,PC1_Variance_Ratio,KMO_Value,N_Components_Kaiser,N_Stocks,PC1_Sign_Mean,Top_10_Eigenvalues
2023-12-04,0.3771699373832892,0.7958839598811587,71,477,0.04469388282868094,"[180.26773421  29.63286082  20.24135525  11.08574457  10.20027993
   6.88291616   6.55052896   5.78136687   5.19309431   4.41149589]"
2023-12-11,0.37488710232239064,0.7971107023904883,72,477,0.044681158033157184,"[179.17665705  29.58895805  20.3336677   11.08350123  10.31799107
   6.87567074   6.57838028   5.80420473   4.99940685   4.43120854]"
2023-12-18,0.3744225087079804,0.7729678590495903,71,477,0.04468699481106128,"[178.95460532  29.69228445  20.15008719  11.24592263  10.82182807
   6.81413846   6.62001241   5.88926665   4.96055588   4.38489851]"
2023-12-26,0.37505643343231215,0.7996137841692833,72,477,0.044705014808685405,"[179.25758857  29.36914966  19.97479625  11.31526191  10.82627355
   6.78124      6.61911223   5.88094204   4.9249614    4.39616432]"
2024-01-03,0.37419696519229007,0.802495423947186,72,477,0.044694615656388076,"[178.84680717  29.67593011  20.0264601   11.34480139  10.83950071
   6.79620342   6.67749717   5.85747717   4.92022375   4.39844064]"
2024-01-10,0.37534060979032746,0.8087842936553633,72,477,0.04468970131236589,"[179.39341018  29.59617242  19.4954315   11.38262254  10.842921
   6.71224549   6.57167574   5.76624325   4.88750389   4.38476806]"
2024-01-18,0.37633891865357677,0.8091448384852584,71,477,0.04470213363339803,"[179.87055021  29.57743581  19.26736499  11.59396022  10.8317921
   6.71352135   6.54126571   5.7265567    4.86643221   4.37280148]"
2024-01-25,0.3752780394926834,0.8150734236397684,71,477,0.04468786315183552,"[179.36350481  29.7299335   19.10860982  11.62985162  10.6778217
   6.65258824   6.54680991   5.711483     4.89556882   4.45567673]"
2024-02-01,0.375958518172409,0.8094949320699221,72,477,0.044690026590507595,"[179.68873844  29.67258788  18.81767085  11.64800512  10.74301259
   6.67828      6.50535511   5.65446989   4.89425002   4.49788664]"
2024-02-08,0.3745322507153168,0.8151509781891724,72,477,0.044695012029744186,"[179.00705632  29.70526153  18.70631929  11.78392667  10.7321075
   6.68805743   6.52168007   5.69393265   4.92158514   4.56685569]"
2024-02-15,0.37387857003957625,0.8009192038327516,71,477,0.044695284202212006,"[178.69463075  29.63929896  18.56814622  11.88989706  10.66637207
   6.76296136   6.41739622   5.68269464   4.94498432   4.54229588]"
2024-02-23,0.3727508814708294,0.7857048972496232,72,477,0.044716120473447536,"[178.1556539   29.38942495  18.52349878  11.98132103  10.68379349
   6.72587748   6.43171248   5.68825756   4.9773164    4.56587394]"
2024-03-01,0.37059445186872736,0.8078374588875935,72,477,0.04469222342233941,"[177.12499202  29.21688801  18.46992336  12.17673253  10.3157559
   6.70795041   6.45152179   5.72324102   4.94908867   4.60553471]"
2024-03-08,0.370261568998118,0.8142925989366603,74,477,0.044714157412323416,"[176.96589121  28.57872251  18.62872185  12.29347956   9.67695967
   6.76289357   6.45935271   5.53122951   4.98168103   4.593486  ]"
2024-03-15,0.3678715739621734,0.8169125822233333,74,477,0.04473680529749106,"[175.82359712  28.07719463  18.70378363  12.30494586   9.47221959
   6.80184526   6.52782247   5.47435868   4.93196883   4.57950146]"
2024-03-22,0.36675234095949943,0.8144647376654699,75,477,0.044750883861316246,"[175.2886616   27.79514241  18.73665921  12.30936101   9.19320691
   6.81797745   6.53877704   5.48236493   4.97444434   4.59702027]"
2024-04-01,0.36698720829022186,0.8296810408207741,75,477,0.04475595899545426,"[175.40091605  27.60671742  18.54952762  12.39651064   9.07873169
   6.82543973   6.53420109   5.43352169   4.9524667    4.6076615 ]"
2024-04-08,0.36704289152533975,0.8123192643341354,75,477,0.044751519897604064,"[175.42752975  27.38352031  18.32822749  12.44232752   9.07231462
   6.8666538    6.52602298   5.44966253   4.91884877   4.6185262 ]"
2024-04-15,0.3686757185791541,0.7797113285251568,76,477,0.04473914898645485,"[176.20793668  26.42284546  18.28316191  12.5552149    9.04535476
   6.89860368   6.47530179   5.35242191   4.90459988   4.61746077]"
2024-04-22,0.36815675452446484,0.804263194174913,76,477,0.0447357435029899,"[175.95989869  26.74491813  18.23384761  12.6359895    8.96127388
   6.87675546   6.45487812   5.35690489   4.88119766   4.58875409]"
2024-04-29,0.3639677650009975,0.7819220542425099,76,477,0.04472488206811921,"[173.95777823  26.75031721  18.20311201  12.61369945   8.90580885
   6.9366123    6.45825731   5.33076058   4.85435885   4.59599258]"
2024-05-06,0.3589062317784756,0.7989298302514747,78,477,0.04468829576365945,"[171.53862698  26.63681448  18.26337041  12.71648599   8.93263001
   7.03094124   6.52196132   5.35074983   4.91254077   4.59757441]"
2024-05-13,0.35238308603858287,0.781825488311681,79,477,0.04465351847451304,"[168.42090049  26.7924395   18.55375855  12.7462026    8.65130176
   7.20873921   6.29255146   5.44413994   4.82073502   4.63881406]"
2024-05-20,0.352004467059832,0.7357746386096994,79,477,0.04464620598315437,"[168.23994019  26.58551978  18.56515819  12.78929168   8.5545369
   7.25889969   6.25393399   5.37077144   4.81902765   4.66431065]"
2024-05-28,0.3473734753791108,0.763007197132063,80,477,0.0445956153321568,"[166.02656554  27.00400973  18.57564658  12.74233817   8.65170063
   7.10977468   5.82675564   5.36728972   4.70067169   4.69636333]"
2024-06-04,0.345516638254074,0.7509866909078242,80,477,0.0446037246782954,"[165.13909338  26.54531618  18.70572741  12.80400004   8.71319744
   7.18879479   5.82472532   5.35488535   4.71492242   4.54883049]"
2024-06-11,0.3432705524982751,0.7529316587929148,80,477,0.044597211620629136,"[164.06558049  26.74806541  18.67469836  12.84527568   8.65800982
   7.27159413   5.8372043    5.35066254   4.74887453   4.54981175]"
2024-06-18,0.33182757344711494,0.7421839783990926,81,477,0.044538241883206195,"[158.59642799  27.18627835  19.12674167  13.21152991   8.77219529
   7.41044764   5.99790893   5.43147395   4.81112298   4.60261067]"
2024-06-26,0.32673505101995093,0.7504933828404473,83,477,0.04451094523684517,"[156.1624655   27.21859982  19.19800334  13.20500409   8.55125994
   7.57328729   6.07653932   5.44816237   4.796078     4.59779369]"
2024-07-03,0.32308749836084144,0.753642464708715,84,477,0.04448352530979086,"[154.41912387  27.23666341  18.20011808  13.20103952   8.49694272
   7.62211305   6.20807494   5.41985935   4.83708808   4.65519234]"
2024-07-11,0.3233869177899052,0.7334338156383953,85,477,0.044475357387037645,"[154.56223088  26.50739731  18.10515338  13.28213783   8.40366572
   7.46698309   6.2442314    5.45308111   4.82066508   4.61970416]"
2024-07-18,0.3227941863575003,0.7414249324201796,85,477,0.04446941267041092,"[154.27893589  27.13846359  18.01893882  13.32899524   8.35096415
   7.57341304   6.23173066   5.48310956   4.82175592   4.55521232]"
2024-07-25,0.31818874239768064,0.7232495060546376,85,477,0.04444897223204621,"[152.07777173  27.24751897  17.89063429  13.31088048   8.39029125
   7.77154525   6.20491956   5.44501127   4.84572698   4.55450071]"
2024-08-01,0.315689525162341,0.7438372375159665,86,477,0.04443333085388839,"[150.88327508  26.84036013  17.65402703  13.21468051   8.48514098
   7.54630581   6.23318396   5.71937999   4.81701255   4.46354108]"
2024-08-08,0.31760144070246493,0.771138750308922,86,477,0.0444410591338476,"[151.79707188  28.25887478  17.65168605  13.12230406   8.35005176
   7.37039057   6.15809511   5.61794867   4.82197774   4.46095587]"
2024-08-15,0.31810665080373673,0.7592118191080035,86,477,0.044447280518413235,"[152.0385362   28.10160105  17.30064978  13.12858194   8.427736
   7.37378662   6.14090369   5.62485729   4.79518719   4.51413755]"
2024-08-22,0.31761481605616615,0.7697159783998466,86,477,0.04444186110797969,"[151.80346461  28.22239709  17.27193411  13.09279865   8.40179434
   7.37920117   6.16492245   5.61461967   4.78629288   4.46956562]"
2024-08-29,0.31489588789663225,0.7440602153112709,86,477,0.04444144439564281,"[150.50395749  28.28680325  17.30032788  13.19619285   8.40374585
   7.42632955   6.21159256   5.63089234   4.80713815   4.44283813]"
2024-09-06,0.30980969000074937,0.7311165332878704,86,477,0.0443886845875795,"[148.0730178   28.85880249  17.28277595  13.21077554   8.33858652
   7.52634978   6.19377138   5.66664559   4.82687361   4.49321035]"
2024-09-13,0.30777838159548393,0.7190825945406227,87,477,0.044370677420971345,"[147.10215738  28.94733369  17.33371392  13.20539124   8.2688579
   7.56858043   6.22277818   5.69618906   4.8151141    4.47689915]"
2024-09-20,0.3014258759794316,0.7212154524119528,89,477,0.04430982596311056,"[144.06598806  29.6612972   17.50212116  13.3190096    8.03349172
   7.57683502   6.31358132   5.74033304   4.80840616   4.52421373]"
2024-09-27,0.2969558751413045,0.7561601312438342,89,477,0.04428463906978419,"[141.92955871  29.85768516  17.35290118  13.40519096   7.9533779
   7.71526424   6.48052793   5.93599955   4.78839714   4.66029655]"
2024-10-04,0.2926268019929691,0.7530223532703963,90,477,0.04422872611531756,"[139.86048551  30.17401999  17.48488977  13.46673074   8.11131908
   7.69673855   6.54012002   5.90632639   4.78468028   4.70145147]"
2024-10-11,0.2818838506607952,0.7203568604398055,91,477,0.04411709852132248,"[134.72591008  30.48508608  17.73543872  13.65172686   8.28974813
   7.77929217   6.68002909   6.00488986   4.84830119   4.75958845]"
2024-10-18,0.27768883904771,0.6807803511424803,92,477,0.04404876441099951,"[132.72091137  30.52473589  17.90055392  13.69751293   8.31055654
   7.66966551   6.7377714    5.98118947   4.85847925   4.64694965]"
2024-10-25,0.2710864279477116,0.72047373178096,92,477,0.04399078261115544,"[129.56530014  30.76821037  18.00941749  13.73638028   8.25976961
   7.7756649    6.81082672   5.99403756   4.87465492   4.69003264]"
2024-11-01,0.26741480982107096,0.7061022101666833,94,477,0.04394059724496862,"[127.81045646  30.99868845  17.9390873   13.49748284   8.32853188
   7.75207937   6.83954739   6.11324255   4.93636633   4.63733056]"
2024-11-08,0.2643235606056691,0.694849113478652,93,477,0.04392229713989157,"[126.33299912  31.5237448   18.91878358  13.76626296   8.36093231
   7.62352379   6.90329523   6.03508029   5.22642828   4.83860151]"
2024-11-15,0.2503934538058113,0.6690071646545408,95,477,0.043957612140107086,"[119.67512812  31.91154914  18.78127182  13.85465928   8.50020131
   7.56073772   7.18258257   6.12270603   5.38714117   4.73201254]"
2024-11-22,0.24963293546055257,0.6506666558756659,95,477,0.04398517826760167,"[119.31163966  31.71524501  18.87285608  13.80396875   8.54463823
   7.69901432   7.18779692   6.09884534   5.39419425   4.74320422]"
2024-12-02,0.2475348336019136,0.6531301368026015,96,477,0.043974132700153705,"[118.30885542  31.71764933  18.95931762  13.9127853    8.62616536
   7.74484242   7.28644095   6.10298766   5.3987934    4.759687  ]"
2024-12-09,0.24296418058112057,0.6546507072794111,96,477,0.04389539149094587,"[116.12431953  32.16915049  18.9122987   13.84779461   8.68351859
   7.88197529   7.28369157   6.12729159   5.34145216   4.80176784]"
2024-12-16,0.24096048454747496,0.6241361134250746,97,477,0.04384651125868943,"[115.1666564   32.3181946   18.9095648   13.91727404   8.70908476
   8.04264637   7.26681019   6.14678294   5.30741407   4.80077012]"
2024-12-23,0.24264636398909817,0.6287265707630163,96,477,0.04385660058671802,"[115.97241963  32.23750687  18.74609877  13.73116085   8.62159073
   8.13726303   7.26321032   6.06729299   5.26679736   4.8377692 ]"
2024-12-31,0.24234044572524943,0.6502630986099625,96,477,0.04384806861629372,"[115.82620651  32.2253952   18.78931487  13.76476473   8.60593235
   8.16300314   7.26169198   6.10524948   5.27609537   4.83941099]"
2025-01-08,0.23932334254516235,0.651510755771109,97,477,0.04383473637733924,"[114.38418715  32.67339952  18.82619716  13.80245579   8.62313745
   8.12061368   7.2452075    6.10262235   5.28648386   4.92375977]"
2025-01-16,0.23733620112232767,0.6399369421191519,98,477,0.0438110927822189,"[113.43443626  32.67117697  18.64882079  13.81696349   8.63119608
   8.18767203   7.30296507   6.07427654   5.19780403   4.92127221]"
2025-01-24,0.2363488964549592,0.6189478849931218,97,477,0.04378472504543288,"[112.96255566  32.87738309  18.65266738  13.7563023    8.6409765
   8.18983099   7.15162396   6.00538628   5.16484049   4.87185422]"
2025-01-31,0.2330100360269395,0.6076835213346883,98,477,0.04378163522295927,"[111.36675296  33.89399003  18.55547453  13.68365676   9.60257711
   8.27913504   6.99923732   6.02194872   5.11648736   4.85350904]"
2025-02-07,0.23088974948915764,0.6005806830258565,98,477,0.043790401966489846,"[110.3533656   33.88240341  18.13988193  13.54569614   9.636978
   8.27021938   7.05513822   6.03717921   5.13869158   4.95834602]"
2025-02-14,0.2292739699707605,0.6195565310379407,98,477,0.043763392096421376,"[109.58110651  33.85396884  17.99462846  13.52485251   9.67822304
   8.46695236   6.93703316   6.02051271   5.12968384   4.93931408]"
2025-02-24,0.22823645434707024,0.6047704778708172,99,477,0.043721892858982425,"[109.08522767  34.18104884  17.82628828  13.60675642   9.60482767
   8.48810331   6.89176696   6.02364619   5.14148784   4.96404551]"
2025-03-03,0.22584053968389609,0.5587586922812101,99,477,0.04372762073281557,"[107.9401043   34.45894541  17.85030793  13.69291493   9.87882023
   8.54318981   7.02006857   5.92815138   5.11609016   4.9480158 ]"
2025-03-10,0.22669100585687024,0.6200459705364185,99,477,0.04371198774541559,"[108.34658317  34.81342756  17.68939377  13.6538555   10.35527448
   8.73634548   6.99271852   5.92097337   5.09592989   4.91082537]"
2025-03-17,0.2243046090611905,0.5978763215403095,98,477,0.0436829898576624,"[107.20600886  35.72382662  17.6277491   13.58479131  10.89940141
   8.79760644   6.95748301   5.87937021   5.10424168   4.93465721]"
2025-03-24,0.22317885989676725,0.6133118557099528,99,477,0.043685916885442176,"[106.66795895  35.66355197  16.88468455  13.4501736   11.01516259
   8.80132298   6.99566709   5.92838613   5.21602188   4.94459313]"
2025-03-31,0.22134436888545048,0.5939556090696972,99,477,0.04358678348771345,"[105.79116707  36.03513795  16.75439908  13.47918083  11.0960433
   8.8071829    6.97709343   5.92072809   5.19103516   4.99067419]"
2025-04-07,0.24568747089094634,0.6423422461538083,94,477,0.0437070037036211,"[117.42591153  37.22431944  15.95244291  14.29245731  10.60337147
   8.24535109   7.08796912   5.63270876   4.97116767   4.79592369]"
2025-04-14,0.27687616867753906,0.6917824464307003,89,477,0.04384344077985201,"[132.33249694  36.72372567  15.13158145  13.71221254  10.21608998
   7.90711008   6.96926584   5.36521179   4.68391384   4.54846711]"
2025-04-22,0.27957019140705114,0.7085015689994084,89,477,0.04388604065574021,"[133.62010055  36.60887649  15.13236268  13.77071708  10.19256844
   7.84337859   6.89479509   5.44054491   4.75544739   4.52576757]"
2025-04-29,0.2824273203244256,0.741827029579037,89,477,0.043882063754275856,"[134.98566049  36.93789748  14.94544243  13.59965968  10.08469017
   7.7876169    6.7415976    5.37055317   4.75966729   4.4703879 ]"
2025-05-06,0.280793077369447,0.6915386142668357,90,477,0.04386329270243956,"[134.20457683  36.99081666  15.13034218  13.61618771  10.11855618
   7.81087376   6.68378891   5.30788837   4.70547834   4.50329752]"
2025-05-13,0.28173254530907516,0.7210253488859822,88,477,0.04373997942874516,"[134.65359394  37.67734119  15.12446038  13.57330076  10.41022967
   7.83986502   6.63474419   5.23960228   4.71642573   4.53564525]"
2025-05-20,0.282488206124973,0.7049165104124392,88,477,0.04377929128899477,"[135.01476075  38.49480176  15.11943093  13.50528435  10.36749146
   7.84068321   6.59977776   5.24353139   4.73906648   4.54122758]"
2025-05-28,0.2844600829994763,0.6925295122482786,88,477,0.043804957618884297,"[135.95721597  38.28628889  14.911633    13.51982312  10.3463213
   7.79773832   6.57723507   5.11589279   4.74870513   4.531852  ]"
2025-06-04,0.2842491390403128,0.7184076036852335,88,477,0.04379652698906296,"[135.85639566  38.19509925  14.6806585   13.59231292  10.37496211
   7.80274956   6.60118016   5.15167054   4.77952563   4.55865418]"
2025-06-11,0.2824264363000952,0.640365890908387,89,477,0.043800403063169374,"[134.98523797  38.13291018  14.73577153  13.86570567  10.31160488
   7.82223902   6.55481391   5.15636899   4.77511301   4.57133416]"
2025-06-18,0.28354186885688,0.7335306581785097,89,477,0.04379903754841303,"[135.51835707  38.27737389  14.41193216  13.85851258  10.28784335
   7.9675105    6.53522412   5.27078962   4.77083071   4.53167831]"
2025-06-26,0.2830977285921451,0.7229063455007434,88,477,0.04379734852629805,"[135.30608098  38.4287028   14.43752578  13.83896495  10.24773541
   8.06490375   6.4752808    5.28276344   4.84226181   4.48307698]"
2025-07-03,0.28237290525786307,0.7318601201888505,88,477,0.043785295920205025,"[134.9596529   38.53705617  14.94018314  13.78639637  10.33802794
   8.07105939   6.42152489   5.26163278   4.80811735   4.50012406]"
2025-07-11,0.28142579663511946,0.7552543804051992,88,477,0.04376996804545878,"[134.50698393  38.47878692  15.1323667   13.70372739  10.36466859
   8.08976703   6.42022973   5.25397257   4.81671729   4.49289765]"
2025-07-18,0.28189126166076667,0.7522257890107779,88,477,0.0437945446110007,"[134.72945215  38.41733129  15.17651255  13.48172897  10.33969344
   8.16342996   6.37423195   5.26193024   4.78289103   4.50641865]"
2025-07-25,0.28183548958987337,0.7624221643075378,88,477,0.04381612329885313,"[134.70279599  38.07030293  15.20489487  13.13020461  10.49119617
   8.1606048    6.32762328   5.25991864   4.738446     4.5029489 ]"
2025-08-01,0.28141331036438205,0.7257219513480311,88,477,0.04379771631093844,"[134.50101614  37.93779463  15.10926871  13.08228233  10.50579501
   8.07649462   6.39096476   5.25909148   4.73874392   4.51946296]"
2025-08-08,0.2810506022648149,0.7066265342009332,88,477,0.043777412100766536,"[134.32766042  37.90989963  15.24190949  13.07277844  10.44736071
   8.16990518   6.34807405   5.25677459   4.80452704   4.51125666]"
2025-08-15,0.28174609764715797,0.73309295340898,88,477,0.04376997761136482,"[134.66007126  37.96404365  15.35994828  13.08951549  10.5600623
   8.12394831   6.33660622   5.27393602   4.88740582   4.51721005]"
2025-08-22,0.2806111361981164,0.6833715162611635,87,477,0.043747081847001865,"[134.11761835  38.24318496  15.38610322  12.93464919  10.56092908
   8.14535412   6.37410863   5.29995418   4.89775362   4.51117365]"
2025-08-29,0.2814240741249463,0.6742659378403262,88,477,0.04371930140930091,"[134.50616066  38.34204755  15.56852947  12.80572478  10.53540805
   8.09625415   6.33541354   5.28384311   4.88684244   4.49309274]"
2025-09-08,0.28030414314731705,0.6758004074174483,89,477,0.043695681090017646,"[133.97089154  38.26019033  15.68386246  12.85833685  10.52626911
   8.08898163   6.38462185   5.29976044   4.85465335   4.48397587]"
2025-09-15,0.28038163420309054,0.65977605488829,89,477,0.043709751576240775,"[134.00792826  38.05191968  15.62858164  13.00928458  10.62515139
   8.1283653    6.41645425   5.29179662   4.81683255   4.46311822]"
2025-09-22,0.27938086863410133,0.6639534891742099,89,477,0.04369306118920591,"[133.52961405  38.22519831  15.69876755  12.7550936   10.73461912
   8.15972147   6.45030963   5.28919932   4.89305523   4.47814583]"
2025-09-29,0.2781812725812679,0.6766270612591692,89,477,0.04368731673896733,"[132.95626914  38.2731622   15.67713371  12.83914722  10.68980077
   8.18461867   6.42744424   5.2937661    4.89521847   4.47744922]"
2025-10-06,0.27628012093637055,0.7028283288235045,89,477,0.04367943366047218,"[132.04761693  38.25449289  15.705126    12.87263934  10.60117868
   8.35948524   6.39840802   5.26510478   5.09227038   4.49544626]"
2025-10-13,0.27659773844934815,0.6828498997973653,90,477,0.04364673308918675,"[132.19942168  38.67767646  15.68243002  12.57815428  10.47227115
   8.29545486   6.44144726   5.18350791   5.03169435   4.45009318]"
2025-10-20,0.2761036750467679,0.6895303657847413,89,477,0.043646473209629916,"[131.96328491  38.64881553  15.92590375  12.54436056  10.59784726
   8.27125013   6.35966629   5.10275604   5.0458419    4.45173216]"
2025-10-27,0.27282000434940806,0.7035212039922721,90,477,0.043621726225037794,"[130.39386005  38.9576307   15.92762125  12.53100109  10.68192088
   8.27738081   6.3567194    5.15831562   5.04973244   4.50215863]"
2025-11-03,0.2717336819250288,0.7023670702441271,90,477,0.04362299277739422,"[129.87465408  39.05163271  15.84464914  12.48766486  10.58249473
   8.32139242   6.34306076   5.31688605   4.99073119   4.4931399 ]"
2025-11-10,0.2693434971673731,0.7065090285523709,91,477,0.04357959842897712,"[128.73226932  39.46283291  15.85295307  12.59107705  10.62952049
   8.29273426   6.31335096   5.34375795   5.05714894   4.55024259]"
2025-11-17,0.26901456291028125,0.7082980406289401,91,477,0.043582837278421376,"[128.57505575  39.73111475  15.80446468  12.39351983  10.67822409
   8.31199361   6.35001394   5.44958137   5.03744179   4.5646369 ]"
2025-11-24,0.26836804463934105,0.7020046250556458,92,477,0.04358639591959076,"[128.26605343  39.9925267   15.71463681  12.38207439  10.44089644
   8.27199599   6.31138079   5.4526436    5.05119792   4.58399043]"
